p,Tu,phi,egr,Su,deltaL,completed
100000.0,300.0,1.7,0.15,1.4551759904675396,0.0002547386847225971,True
100000.0,300.0,1.7,0.2,1.3078235023678026,0.0002595345070059357,True
100000.0,300.0,1.7,0.25,1.1587447272019549,0.00026863745492075646,True
100000.0,300.0,1.7,0.3,1.0082981565047806,0.00027643249316372433,True
100000.0,300.0,1.7,0.35,0.8543719589531373,0.00028604407273568434,True
100000.0,300.0,1.7,0.4,0.7080982911768101,0.000334653205893247,True
100000.0,300.0,1.7,0.45,0.5604584059214123,0.0003595869776548596,True
100000.0,300.0,1.7,0.5,,,False
100000.0,300.0,1.7,0.55,,,False
100000.0,300.0,1.7,0.6,,,False
100000.0,300.0,1.8,0.0,1.8608095982694581,0.0002584425887365649,True
100000.0,300.0,1.8,0.05,1.7246203748014768,0.0002619280931554127,True
100000.0,300.0,1.8,0.1,1.585643311120908,0.0002557435462202699,True
100000.0,300.0,1.8,0.15,1.4427087744555576,0.0002686509559685894,True
100000.0,300.0,1.8,0.2,1.297663974333728,0.00027715436639643554,True
100000.0,300.0,1.8,0.25,1.1439719670740192,0.00025210996686954095,True
100000.0,300.0,1.8,0.3,0.9713415485702563,0.0002592309014466193,True
100000.0,300.0,1.8,0.35,0.8276348144019261,0.0002811122650380479,True
100000.0,300.0,1.8,0.4,0.7048477698995519,0.0003469466480466802,True
100000.0,300.0,1.8,0.45,0.5500045658923156,0.0003569865123899109,True
100000.0,300.0,1.8,0.5,0.4136934433241752,0.0004304478501308951,True
100000.0,300.0,1.8,0.55,,,False
100000.0,300.0,1.8,0.6,,,False
100000.0,300.0,1.9,0.0,1.8347820200502465,0.0002626957032207379,True
100000.0,300.0,1.9,0.05,1.7020399188883908,0.0002634050609671035,True
100000.0,300.0,1.9,0.1,1.565725650467158,0.00026811509998446345,True
100000.0,300.0,1.9,0.15,1.4236729718164964,0.00024136153014000258,True
100000.0,300.0,1.9,0.2,1.2838500012071947,0.0002816590442372659,True
100000.0,300.0,1.9,0.25,1.1393066199286725,0.0002920275904376332,True
100000.0,300.0,1.9,0.3,0.9940531787791103,0.00029709730577565,True
100000.0,300.0,1.9,0.35,0.8477007107734397,0.00031127490812778624,True
100000.0,300.0,1.9,0.4,0.6998065857282282,0.00035209197203149464,True
100000.0,300.0,1.9,0.45,0.5554133800559513,0.0003876440456794369,True
100000.0,300.0,1.9,0.5,0.40776659001627186,0.0004369139487486476,True
100000.0,300.0,1.9,0.55,,,False
100000.0,300.0,1.9,0.6,,,False
100000.0,300.0,2.0,0.0,1.804903757812026,0.00026768657443167687,True
100000.0,300.0,2.0,0.05,1.6755658184990059,0.0002701852060535469,True
100000.0,300.0,2.0,0.1,1.5425880140865553,0.0002727309922499014,True
100000.0,300.0,2.0,0.15,1.4058932189727453,0.00028624149621481713,True
100000.0,300.0,2.0,0.2,1.2664953795180307,0.00029393746345708323,True
100000.0,300.0,2.0,0.25,1.124478236968985,0.00030558733373817144,True
100000.0,300.0,2.0,0.3,0.9476405291349207,0.0002717445748965795,True
100000.0,300.0,2.0,0.35,0.8365486044384541,0.0003332387533948486,True
100000.0,300.0,2.0,0.4,0.692099521186212,0.0003598929144108597,True
100000.0,300.0,2.0,0.45,0.5496098351655903,0.00039304618462751394,True
100000.0,300.0,2.0,0.5,0.3998854248787529,0.0004462065527978755,True
100000.0,300.0,2.0,0.55,,,False
100000.0,300.0,2.0,0.6,,,False
100000.0,400.0,0.2,0.0,,,False
100000.0,400.0,0.2,0.05,,,False
100000.0,400.0,0.2,0.1,,,False
100000.0,400.0,0.2,0.15,,,False
100000.0,400.0,0.2,0.2,,,False
100000.0,400.0,0.2,0.25,,,False
100000.0,400.0,0.2,0.3,,,False
100000.0,400.0,0.2,0.35,,,False
100000.0,400.0,0.2,0.4,,,False
100000.0,400.0,0.2,0.45,,,False
100000.0,400.0,0.2,0.5,,,False
100000.0,400.0,0.2,0.55,,,False
100000.0,400.0,0.2,0.6,,,False
100000.0,400.0,0.3,0.0,0.34978041998051695,0.0004265613508498868,True
100000.0,400.0,0.3,0.05,,,False
100000.0,400.0,0.3,0.1,,,False
100000.0,400.0,0.3,0.15,,,False
100000.0,400.0,0.3,0.2,,,False
100000.0,400.0,0.3,0.25,,,False
100000.0,400.0,0.3,0.3,,,False
100000.0,400.0,0.3,0.35,,,False
100000.0,400.0,0.3,0.4,,,False
100000.0,400.0,0.3,0.45,,,False
100000.0,400.0,0.3,0.5,,,False
100000.0,400.0,0.3,0.55,,,False
100000.0,400.0,0.3,0.6,,,False
100000.0,400.0,0.4,0.0,0.854838728566237,0.00028993362395842516,True
100000.0,400.0,0.4,0.05,0.7131734718958873,0.00030924333190396103,True
100000.0,400.0,0.4,0.1,0.5729140150605543,0.00034847685779985373,True
100000.0,400.0,0.4,0.15,0.43698455019898264,0.0003904601374216503,True
100000.0,400.0,0.4,0.2,,,False
100000.0,400.0,0.4,0.25,,,False
100000.0,400.0,0.4,0.3,,,False
100000.0,400.0,0.4,0.35,,,False
100000.0,400.0,0.4,0.4,,,False
100000.0,400.0,0.4,0.45,,,False
100000.0,400.0,0.4,0.5,,,False
100000.0,400.0,0.4,0.55,,,False
100000.0,400.0,0.4,0.6,,,False
100000.0,400.0,0.5,0.0,1.2785131570199422,0.0002594088334781274,True
100000.0,400.0,0.5,0.05,1.1186500936544708,0.0002775587033151733,True
100000.0,400.0,0.5,0.1,0.9640516957067773,0.0002819299474717839,True
100000.0,400.0,0.5,0.15,0.8018028682267853,0.0003174318218170628,True
100000.0,400.0,0.5,0.2,0.6563607836325885,0.00033548952666955504,True
100000.0,400.0,0.5,0.25,0.5092647121894315,0.0003711855685277004,True
100000.0,400.0,0.5,0.3,,,False
100000.0,400.0,0.5,0.35,,,False
100000.0,400.0,0.5,0.4,,,False
100000.0,400.0,0.5,0.45,,,False
100000.0,400.0,0.5,0.5,,,False
100000.0,400.0,0.5,0.55,,,False
100000.0,400.0,0.5,0.6,,,False
100000.0,400.0,0.6,0.0,1.6359687612974028,0.0002561406488336305,True
100000.0,400.0,0.6,0.05,1.4661311556262346,0.0002657503780870568,True
100000.0,400.0,0.6,0.1,1.294839315389772,0.0002753348345335675,True
100000.0,400.0,0.6,0.15,1.1233941682459392,0.0002871473747815709,True
100000.0,400.0,0.6,0.2,0.954994462400904,0.0003038421654004764,True
100000.0,400.0,0.6,0.25,0.7928210419127983,0.0003066753248077939,True
100000.0,400.0,0.6,0.3,0.6307373046949534,0.0003539809101280469,True
100000.0,400.0,0.6,0.35,0.4755919992757153,0.00039099388206394604,True
100000.0,400.0,0.6,0.4,,,False
100000.0,400.0,0.6,0.45,,,False
100000.0,400.0,0.6,0.5,,,False
100000.0,400.0,0.6,0.55,,,False
100000.0,400.0,0.6,0.6,,,False
100000.0,400.0,0.7,0.0,1.935899138107557,0.00025881579921881756,True
100000.0,400.0,0.7,0.05,1.7557153846823579,0.00026093378699155344,True
100000.0,400.0,0.7,0.1,1.5745397582494274,0.0002692122207351162,True
100000.0,400.0,0.7,0.15,1.392375629281586,0.00027897984996297305,True
100000.0,400.0,0.7,0.2,1.2123466145552073,0.0002832834457242224,True
100000.0,400.0,0.7,0.25,1.0336279315643577,0.00029586240883802266,True
100000.0,400.0,0.7,0.3,0.8576505190622707,0.0003180592651873616,True
100000.0,400.0,0.7,0.35,0.6874372266929829,0.00034286562765405365,True
100000.0,400.0,0.7,0.4,0.5223807115602656,0.00038952643892256264,True
100000.0,400.0,0.7,0.45,0.3483143212762835,0.0004676486989438298,True
100000.0,400.0,0.7,0.5,,,False
100000.0,400.0,0.7,0.55,,,False
100000.0,400.0,0.7,0.6,,,False
100000.0,400.0,0.8,0.0,2.184812335087899,0.0002609691032589232,True
100000.0,400.0,0.8,0.05,1.9970377932570813,0.0002658986930303466,True
100000.0,400.0,0.8,0.1,1.8070364852810685,0.0002690475812590776,True
100000.0,400.0,0.8,0.15,1.615781701528993,0.00027909307684426896,True
100000.0,400.0,0.8,0.2,1.425353522484208,0.0002864527080555492,True
100000.0,400.0,0.8,0.25,1.2352379419317938,0.00029855746549972136,True
100000.0,400.0,0.8,0.3,1.048379624126996,0.000303966481914672,True
100000.0,400.0,0.8,0.35,0.864589015772221,0.0003282010828147509,True
100000.0,400.0,0.8,0.4,0.6874947709536776,0.00034799733065108747,True
100000.0,400.0,0.8,0.45,0.5109287043103428,0.00038299772501637836,True
100000.0,400.0,0.8,0.5,,,False
100000.0,400.0,0.8,0.55,,,False
100000.0,400.0,0.8,0.6,,,False
100000.0,400.0,0.9,0.0,2.3879552777022357,0.00026531238863948184,True
100000.0,400.0,0.9,0.05,2.19388399200082,0.00026983650013738135,True
100000.0,400.0,0.9,0.1,1.9973532990560205,0.00027558742568394777,True
100000.0,400.0,0.9,0.15,1.7990215190237686,0.0002825368091353352,True
100000.0,400.0,0.9,0.2,1.6004314438805034,0.0002822837265917025,True
100000.0,400.0,0.9,0.25,1.4022053166144788,0.000296816945658764,True
100000.0,400.0,0.9,0.3,1.2055443103517203,0.0002978078290008913,True
100000.0,400.0,0.9,0.35,1.0116894204179787,0.00030844166344408706,True
100000.0,400.0,0.9,0.4,0.822986798799285,0.0003217754135327426,True
100000.0,400.0,0.9,0.45,0.6368745105584555,0.00034929696236121337,True
100000.0,400.0,0.9,0.5,0.4627321139223685,0.0004291995406657459,True
100000.0,400.0,0.9,0.55,,,False
100000.0,400.0,0.9,0.6,,,False
100000.0,400.0,1.0,0.0,2.5494673041963365,0.0002698147765189504,True
100000.0,400.0,1.0,0.05,2.351088156314629,0.00027414580006753967,True
100000.0,400.0,1.0,0.1,2.149816211311621,0.0002795628485696247,True
100000.0,400.0,1.0,0.15,1.9457733482999477,0.00028578714889264135,True
100000.0,400.0,1.0,0.2,1.7414410829789013,0.0002840206842601136,True
100000.0,400.0,1.0,0.25,1.5365760755164408,0.0002979459092152024,True
100000.0,400.0,1.0,0.3,1.3319597564468708,0.0003124657757390896,True
100000.0,400.0,1.0,0.35,1.1306336501735974,0.00029813119819714325,True
100000.0,400.0,1.0,0.4,0.9328123753646445,0.0003218163852458501,True
